microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
nginx-web-server,frontend,worker_processes,,1,,1;48,2,,,
nginx-web-server,frontend,worker_connections,,1,,512;2048,256,,,
nginx-web-server,frontend,threads,,1,,1;48,2,,,
nginx-web-server,frontend,max_queue,,1,,100;65536,,,,thread queue size
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
cast-info-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
compose-review-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,,,,,,,,,
movie-id-memcached,memcached,,,,,,,,,
movie-info-memcached,,,,,,,,,,
movie-info-memcached,,,,,,,,,,
movie-info-memcached,,,,,,,,,,
movie-info-memcached,,,,,,,,,,
movie-info-memcached,,,,,,,,,,
plot-memcached,,,,,,,,,,
plot-memcached,,,,,,,,,,
plot-memcached,,,,,,,,,,
plot-memcached,,,,,,,,,,
plot-memcached,,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
review-storage-memcached,memcached,,,,,,,,,
user-memcached,memcached,,,,,,,,,
user-memcached,memcached,,,,,,,,,
user-memcached,memcached,,,,,,,,,
user-memcached,memcached,,,,,,,,,
user-memcached,memcached,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
cast-info-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-id-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-info-mongodb,mongo,,,,,,,,,
movie-review-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
movie-review-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
movie-review-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
movie-review-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
movie-review-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
plot-mongodb,mongo,,,,,,,,,
review-storage-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
review-storage-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
review-storage-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
review-storage-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
review-storage-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
user-review-mongodb,mongo,,,,,,,,,
movie-review-redis,redis,,,,,,,,,
movie-review-redis,redis,,,,,,,,,
movie-review-redis,redis,,,,,,,,,
movie-review-redis,redis,,,,,,,,,
movie-review-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
rating-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
user-review-redis,redis,,,,,,,,,
cast-info-service,service,,,,,,,,,
cast-info-service,service,,,,,,,,,
compose-review-service,service,,,,,,,,,
compose-review-service,service,,,,,,,,,
movie-id-service,service,,,,,,,,,
movie-id-service,service,,,,,,,,,
movie-info-service,service,,,,,,,,,
movie-info-service,service,,,,,,,,,
movie-review-service,service,movie-review-service_io_threads,,1,,1;48,4,,,
movie-review-service,service,movie-review-service_worker_threads,,1,,24; 960,48,,,
plot-service,service,,,,,,,,,
plot-service,service,,,,,,,,,
rating-service,service,,,,,,,,,
rating-service,service,,,,,,,,,
review-storage-service,service,review-storage-service_io_threads,,1,,1;48,4,,,
review-storage-service,service,review-storage-service_worker_threads,,1,,24; 960,48,,,
text-service,service,,,,,,,,,
text-service,service,,,,,,,,,
unique-id-service,service,,,,,,,,,
unique-id-service,service,,,,,,,,,
user-review-service,service,,,,,,,,,
user-review-service,service,,,,,,,,,
user-service,service,,,,,,,,,
user-service,service,,,,,,,,,
